Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Flashobby,A2812,76,900,HQ9050,90.00%,6,24.93,34.36,2377,2.77,856.8,12313,7,10,28,12,9,5,63.62,7389.03,116.15
Flashobby,A2812,76,900,HQ9050,100.00%,6,24.86,42.13,2619,2.5,1047.3,12837,7,10,28,12,9,5,63.62,7389.03,116.15
Flashobby,A3110,87,900,GF9045,50%,6,25.15,8.79,1044,4.72,221,9042,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,GF9045,60%,6,25.1,14.02,1441,4.09,352,10508,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,GF9045,70%,6,25.04,20.88,1863,3.56,522.8,11827,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,GF9045,80%,6,24.97,28.72,2270,3.17,717.2,13034,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,GF9045,90%,6,24.88,37.54,2635,2.82,934,13978,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,GF9045,100%,6,24.79,46.92,2943,2.53,1163.1,14747,9,11,31,10,9,4.5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,HQ9050,50%,6,25.14,10.15,1162,4.55,255.2,8743,9,11,31,10,9,5,199.85948912206,23711.7245736172,118.64
Flashobby,A3110,87,900,HQ9050,60%,6,25.09,15.96,1579,3.94,400.3,10094,9,11,31,10,9,5,199.85948912206,23711.7245736172,118.64
